Gpc code,Gpc description,Date added,Last modified
50261700,Fungi,2022-04-01,2022-04-01
50261800,Vegetables - Unprepared/Unprocessed (Fresh) Variety Packs,2022-04-01,2022-04-01
50261900,Micro Vegetables,2022-04-01,2022-04-01
50262000,Edible Flowers,2022-04-01,2022-04-01
50262100,Tidal Sea Vegetables,2022-04-01,2022-04-01
50262200,Chickpeas,2022-04-01,2022-04-01
50262300,Succulent,2022-04-01,2022-04-01
50262400,Ferns,2022-04-01,2022-04-01
50262500,Sapote,2022-04-01,2022-04-01
50262600,Sugar Canes,2022-04-01,2022-04-01
50262700,Sedges,2022-04-01,2022-04-01
50270100,Fruits - Unprepared/Unprocessed (Frozen),2022-04-01,2022-04-01
50290100,Vegetables - Unprepared/Unprocessed (Frozen),2022-04-01,2022-04-01
50310100,Fruits - Unprepared/Unprocessed (Shelf Stable),2022-04-01,2022-04-01
50320100,Vegetables - Unprepared/Unprocessed (Shelf Stable),2022-04-01,2022-04-01
50330100,Nuts/Seeds - Unprepared/Unprocessed (Perishable),2022-04-01,2022-04-01
50340100,Nuts/Seeds - Unprepared/Unprocessed (In Shell),2022-04-01,2022-04-01
50350100,Chicory Leaves,2022-04-01,2022-04-01
50350200,Head Lettuce,2022-04-01,2022-04-01
50350300,Loose Leaf/Multileaf Salad Greens,2022-04-01,2022-04-01
50350400,Single Leaf Salad Greens,2022-04-01,2022-04-01
50350500,Spinach (Fresh),2022-04-01,2022-04-01
50350600,Leaf Vegetables - Unprepared/Unprocessed Variety Packs,2022-04-01,2022-04-01
50350700,Stem Lettuce,2022-04-01,2022-04-01
50360100,Fresh Garnish (Food),2022-04-01,2022-04-01
50370100,Fruits/Vegetables Variety Packs Unprepared/Unprocessed (Fresh),2022-04-01,2022-04-01
50370200,Vegetables/Fruits Variety Pack - Fresh Cut,2022-04-01,2022-04-01
50380100,Fruits - Fresh Cut,2022-04-01,2022-04-01
50380200,Vegetables - Fresh Cut,2022-04-01,2022-04-01
50390100,Meat Substitutes,2022-04-01,2022-04-01
50390200,Fish Substitutes,2022-04-01,2022-04-01
50390300,Seafood Substitutes,2022-04-01,2022-04-01
