Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
1027,1,1,oz,28.35,g,1,1999-03-22,2006-11-30
1027,2,1,cubic inch,18,g,1,1994-01-31,2006-11-30
1028,1,1,oz,28.35,g,1,1999-03-22,2006-11-30
1029,1,1,"cup, diced",132,g,1,1994-09-29,2006-11-30
1029,2,1,"cup, shredded",113,g,1,1998-01-15,2006-11-30
1029,3,1,oz,28.35,g,1,1999-03-22,2006-11-30
1029,4,1,cubic inch,18,g,1,2002-09-06,2006-11-30
1029,5,1,slice (1 oz),28,g,1,2002-09-06,2006-11-30
1030,1,1,"cup, diced",132,g,1,1994-11-02,2006-11-30
1030,2,1,"cup, shredded",113,g,1,1997-08-29,2006-11-30
1030,3,1,oz,28.35,g,1,2002-09-06,2006-11-30
1030,4,1,cubic inch,18,g,1,2002-09-06,2006-11-30
1030,5,1,slice (1 oz),28,g,1,2002-09-06,2006-11-30
1030,6,1,package (6 oz),170,g,1,2002-09-06,2006-11-30
1031,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1031,2,1,package (3 oz),85,g,1,2013-12-23,2013-12-23
1032,1,1,cup,100,g,1,2015-01-06,2015-01-06
1032,2,1,TBSP,5,g,1,1994-11-02,2006-11-30
1032,3,1,oz,28.35,g,1,2002-09-06,2006-11-30
1033,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1033,2,1,cubic inch,10.3,g,1,2013-12-23,2013-12-23
1033,3,5,package (5 oz),142,g,1,2013-12-23,2013-12-23
1034,1,1,"cup, diced",132,g,1,2013-12-23,2013-12-23
1034,2,1,"cup, shredded",113,g,1,2013-12-23,2013-12-23
1034,3,1,oz,28.35,g,1,2013-12-23,2013-12-23
1034,4,1,cubic inch,17,g,1,2013-12-23,2013-12-23
1034,5,1,slice (1 oz),28,g,1,2013-12-23,2013-12-23
1034,6,1,package (6 oz),170,g,1,2013-12-23,2013-12-23
1035,1,1,"cup, diced",132,g,1,1994-09-29,2006-11-30
1035,2,1,oz,28.35,g,1,1999-03-22,2006-11-30
1035,3,1,cubic inch,17,g,1,2002-09-06,2006-11-30
1035,4,1,slice (1 oz),28,g,1,2002-09-06,2006-11-30
1035,5,1,package (6 oz),170,g,1,2002-09-06,2006-11-30
1036,1,0.5,cup,124,g,1,1997-08-29,2013-12-26
1036,2,1,cup,246,g,1,2007-11-27,2013-12-26
1037,1,0.5,cup,124,g,1,1997-08-29,2013-12-26
1037,2,1,oz,28.35,g,1,2007-11-28,2007-11-28
1037,3,1,cup,246,g,1,2007-11-28,2013-12-26
1038,1,1,oz,28.35,g,1,1997-08-29,2006-11-30
1038,2,5,package (5 oz),142,g,1,2002-09-06,2006-11-30
1039,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1039,2,1,package (3 oz),85,g,1,2013-12-23,2013-12-23
1040,1,1,"cup, diced",132,g,1,1994-09-29,2006-11-30
1040,2,1,"cup, melted",244,g,1,1999-03-22,2006-11-30
1040,3,1,"cup, shredded",108,g,1,2002-09-06,2006-11-30
1040,4,1,oz,28.35,g,1,2002-09-06,2006-11-30
1040,5,1,cubic inch,15,g,1,2002-09-06,2006-11-30
1040,6,1,slice (1 oz),28,g,1,2002-09-06,2006-11-30
1041,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1041,2,1,package (6 oz),170,g,1,2013-12-23,2013-12-23
1042,1,1,oz,28.35,g,1,1995-06-19,2015-01-07
1042,2,1,slice (1 oz),28,g,1,1998-01-15,2015-01-07
1042,3,1,slice (3/4 oz),21,g,1,1999-03-22,2015-01-07
1042,4,1,cubic inch,18,g,1,2002-09-06,2015-01-07
1042,5,1,"cup, shredded",113,g,1,2002-09-06,2015-01-07
1042,6,1,"cup, diced",140,g,1,2002-09-06,2015-01-07
1042,7,1,"cup, melted",244,g,1,2002-09-06,2015-01-07
1043,1,1,"cup, diced",140,g,1,2013-12-23,2013-12-23
1043,2,1,"cup, melted",244,g,1,2013-12-23,2013-12-23
1043,3,1,"cup, shredded",113,g,1,2013-12-23,2013-12-23
1043,4,1,oz,28.35,g,1,2013-12-23,2013-12-23
1043,5,1,cubic inch,18,g,1,2013-12-23,2013-12-23
1043,6,1,slice (3/4 oz),21,g,1,2013-12-23,2013-12-23
1044,1,1,"cup, diced",140,g,1,1994-09-29,2006-11-30
1044,2,1,"cup, shredded",113,g,1,1998-01-15,2006-11-30
1044,3,1,oz,28.35,g,1,1999-03-22,2006-11-30
1044,4,1,cubic inch,18,g,1,2002-09-06,2006-11-30
1044,5,1,slice (3/4 oz),21,g,1,2002-09-06,2006-11-30
1045,1,1,oz,28.35,g,1,2013-12-23,2013-12-23
1045,2,1,package (8 oz),227,g,1,2013-12-23,2013-12-23
1046,1,1,CUP,113,g,1,1998-01-15,2006-11-30
1046,2,1,oz,28.35,g,1,1999-03-22,2006-11-30
1046,3,1,slice (3/4 oz),21,g,1,1994-01-31,2006-11-30
1046,4,1,package (8 oz),227,g,1,2002-09-06,2006-11-30
1047,1,1,oz,28.35,g,1,1999-03-22,2006-11-30
1047,2,1,package (8 oz),227,g,1,2002-09-06,2006-11-30
1048,1,1,"cup, diced",140,g,1,2013-12-23,2013-12-23
1048,2,1,cup,244,g,1,2013-12-23,2013-12-23
1048,3,1,jar (5 oz),128,g,1,2013-12-23,2013-12-23
1048,4,1,cubic inch,18,g,1,2013-12-23,2013-12-23
1048,5,1,jar (5 oz),142,g,1,2013-12-23,2013-12-23
1048,6,1,slice,34,g,1,2013-12-23,2013-12-23
1048,7,1,"slice, thin",14,g,1,2013-12-23,2013-12-23
1049,1,1,fl oz,30.2,g,1,1999-03-22,2013-12-26
1049,2,1,TBSP,15,g,1,1998-01-15,2006-11-30
1049,3,1,cup,242,g,1,1994-01-31,2013-12-26
1049,4,1,"container, individual (.5 fl oz)",15,g,1,2002-09-06,2006-11-30
1050,1,1,fl oz,30,g,1,1997-08-29,2013-12-26
1050,2,1,TBSP,15,g,1,1998-01-15,2006-11-30
1050,3,1,cup,240,g,1,1994-11-02,2013-12-26
1050,4,1,"container, individual",11.1,g,1,2002-09-06,2006-11-30
1052,1,1,"cup, whipped",120,g,1,1999-03-22,2006-11-30
1052,2,1,"cup, fluid (yields 2 cups whipped)",239,g,1,1994-01-31,2006-11-30
1052,3,1,TBSP,15,g,1,2002-09-06,2006-11-30
1053,1,1,"cup, whipped",120,g,1,1998-01-15,2006-11-30
1053,2,1,"cup, fluid (yields 2 cups whipped)",238,g,1,1995-06-19,2006-11-30
1053,3,1,TBSP,15,g,1,1997-08-29,2006-11-30
1053,4,1,FL OZ,29.8,g,1,2002-09-06,2010-01-05
1054,1,1,CUP,60,g,1,1999-03-22,2006-11-30
1054,2,1,TBSP,3,g,1,1994-01-31,2006-11-30
1055,1,1,tbsp,15,g,1,1994-11-02,2013-12-26
1055,2,1,cup,242,g,1,2002-09-06,2013-12-26
1056,1,1,tbsp,12,g,1,1999-03-22,2013-12-26
1056,2,1,cup,230,g,1,1994-01-31,2013-12-26
1057,1,1,CUP,254,g,1,1999-03-22,2006-11-30
1057,2,1,FL OZ,31.8,g,1,1994-01-31,2010-01-05
1057,3,1,quart,1016,g,1,2002-09-06,2006-11-30
1058,1,1,tbsp,12,g,1,1999-03-22,2013-12-26
1058,2,1,cup,235,g,1,1994-01-31,2013-12-26
1059,1,1,cup,244,g,1,2013-12-23,2013-12-23
1059,2,1,quart,976,g,1,2013-12-23,2013-12-23
1060,1,1,cup,244,g,1,2013-12-23,2013-12-23
1060,2,1,fl oz,30.5,g,1,2013-12-23,2013-12-23
1060,3,1,quart,976,g,1,2013-12-23,2013-12-23
1061,1,1,serving,19,g,1,2013-12-23,2013-12-23
1067,1,1,"container, individual",15,g,1,2013-12-23,2013-12-23
1067,2,1,fl oz,30,g,1,2013-12-23,2013-12-23
1067,3,1,cup,240,g,1,2013-12-23,2013-12-23
1067,4,0.5,cup,120,g,1,2013-12-23,2013-12-23
1068,1,1,"container, individual",15,g,1,2013-12-23,2013-12-23
1068,2,0.5,cup,120,g,1,2013-12-23,2013-12-23
1069,1,1,cup,94,g,1,2013-12-23,2013-12-23
1069,2,1,tsp,2,g,1,2013-12-23,2013-12-23
1069,3,1,packet,3,g,1,2013-12-23,2013-12-23
1070,1,1.5,oz,43,g,1,1999-03-22,2006-11-30
1070,2,1,"portion, amount to make 1 tbsp",1.3,g,1,1994-01-31,2006-11-30
1071,1,1,CUP,80,g,1,1999-03-22,2006-11-30
1071,2,1,TBSP,4,g,1,1998-01-15,2006-11-30
1071,3,1,package yields,160,g,1,1994-01-31,2006-11-30
1072,1,1,CUP,70,g,1,1999-03-22,2006-11-30
1072,2,1,TBSP,4,g,1,1994-01-31,2006-11-30
1073,1,1,CUP,75,g,1,1999-03-22,2006-11-30
1073,2,1,TBSP,4,g,1,1994-01-31,2006-11-30
1074,1,1,oz,28.35,g,1,1999-03-22,2013-12-26
1074,2,1,cup,230,g,1,1994-01-31,2013-12-26
1076,1,1,cup,244,g,1,2013-12-23,2013-12-23
1076,2,1,quart,976,g,1,2013-12-23,2013-12-23
1077,1,1,CUP,244,g,1,1999-03-22,2006-11-30
1077,2,1,fl oz,30.5,g,1,1998-01-15,2013-12-26
1077,3,1,tbsp,15,g,1,1994-01-31,2013-12-26
1077,4,1,quart,976,g,1,2002-09-06,2006-11-30
1078,1,1,CUP,244,g,1,1997-08-29,2006-11-30
