Gpc code,Gpc description,Date added,Last modified
50261700,Fungi,04/01/2022,04/01/2022
50261800,Vegetables - Unprepared/Unprocessed (Fresh) Variety Packs,04/01/2022,04/01/2022
50261900,Micro Vegetables,04/01/2022,04/01/2022
50262000,Edible Flowers,04/01/2022,04/01/2022
50262100,Tidal Sea Vegetables,04/01/2022,04/01/2022
50262200,Chickpeas,04/01/2022,04/01/2022
50262300,Succulent,04/01/2022,04/01/2022
50262400,Ferns,04/01/2022,04/01/2022
50262500,Sapote,04/01/2022,04/01/2022
50262600,Sugar Canes,04/01/2022,04/01/2022
50262700,Sedges,04/01/2022,04/01/2022
50270100,Fruits - Unprepared/Unprocessed (Frozen),04/01/2022,04/01/2022
50290100,Vegetables - Unprepared/Unprocessed (Frozen),04/01/2022,04/01/2022
50310100,Fruits - Unprepared/Unprocessed (Shelf Stable),04/01/2022,04/01/2022
50320100,Vegetables - Unprepared/Unprocessed (Shelf Stable),04/01/2022,04/01/2022
50330100,Nuts/Seeds - Unprepared/Unprocessed (Perishable),04/01/2022,04/01/2022
50340100,Nuts/Seeds - Unprepared/Unprocessed (In Shell),04/01/2022,04/01/2022
50350100,Chicory Leaves,04/01/2022,04/01/2022
50350200,Head Lettuce,04/01/2022,04/01/2022
50350300,Loose Leaf/Multileaf Salad Greens,04/01/2022,04/01/2022
50350400,Single Leaf Salad Greens,04/01/2022,04/01/2022
50350500,Spinach (Fresh),04/01/2022,04/01/2022
50350600,Leaf Vegetables - Unprepared/Unprocessed Variety Packs,04/01/2022,04/01/2022
50350700,Stem Lettuce,04/01/2022,04/01/2022
50360100,Fresh Garnish (Food),04/01/2022,04/01/2022
50370100,Fruits/Vegetables Variety Packs Unprepared/Unprocessed (Fresh),04/01/2022,04/01/2022
50370200,Vegetables/Fruits Variety Pack - Fresh Cut,04/01/2022,04/01/2022
50380100,Fruits - Fresh Cut,04/01/2022,04/01/2022
50380200,Vegetables - Fresh Cut,04/01/2022,04/01/2022
50390100,Meat Substitutes,04/01/2022,04/01/2022
50390200,Fish Substitutes,04/01/2022,04/01/2022
50390300,Seafood Substitutes,04/01/2022,04/01/2022
