Cn code,Sequence num,Amount,Measure description,Unit amount,Type of unit,Source code,Date added,Last modified
15158,2,20,small,188,g,1,12/23/2013,12/23/2013
15159,1,3,oz,85,g,1,03/22/1999,11/30/2006
15159,2,20,small,190,g,1,01/31/1994,11/30/2006
15160,1,3,oz,85,g,1,01/31/1994,12/26/2013
15160,2,1,cup,160,g,1,08/29/1997,12/26/2013
15162,1,3,oz,85,g,1,12/23/2013,12/23/2013
15162,2,1,cup,240,g,1,12/23/2013,12/23/2013
15163,1,3,oz,85,g,1,12/23/2013,12/23/2013
15164,1,1,cup,150,g,1,12/23/2013,12/23/2013
15164,2,1,oz,28.35,g,1,12/23/2013,12/23/2013
15164,3,1,large,20,g,1,12/23/2013,12/23/2013
15164,4,1,medium,16,g,1,12/23/2013,12/23/2013
15164,5,1,small,10,g,1,12/23/2013,12/23/2013
15164,6,3,oz,85,g,1,12/23/2013,12/23/2013
15165,1,3,oz,85,g,1,12/23/2013,12/23/2013
15166,1,3,oz,85,g,1,12/23/2013,12/23/2013
15167,1,6,medium,84,g,1,12/23/2013,12/23/2013
15167,2,1,cup,248,g,1,12/23/2013,12/23/2013
15168,1,3,oz,85,g,1,12/23/2013,12/23/2013
15168,2,6,medium,88,g,1,12/23/2013,12/23/2013
15169,1,3,oz,85,g,1,12/23/2013,12/23/2013
15169,2,6,medium,42,g,1,12/23/2013,12/23/2013
15170,1,3,oz,85,g,1,12/23/2013,12/23/2013
15170,2,1,"cup, undrained",248,g,1,12/23/2013,12/23/2013
15170,3,1,"oz, drained",23,g,1,12/23/2013,12/23/2013
15170,4,1,"can (12 oz), oysters and liquid",272,g,1,12/23/2013,12/23/2013
15170,5,1,oyster,8,g,1,12/23/2013,12/23/2013
15170,6,1,"cup, drained",162,g,1,12/23/2013,12/23/2013
15171,1,1,medium,50,g,1,12/23/2013,12/23/2013
15171,2,3,oz,85,g,1,12/23/2013,12/23/2013
15172,1,1,unit 2 large or 5 small,30,g,1,12/23/2013,12/23/2013
